USERID,OBJID,RATING,REGION
S156HzsEW-BjCfzu0xLe9A,ImU8asw-7e_9sZoDc2lzXA,2,2
gAH0POhe-xwkH_wmXF1tYw,InpTA6-ErH8JVwTKsbWNZA,5,2
oEshN5oq98_g23MvEnRc5A,CDbtT91FYGMRFiAMYTE-uQ,4,0
NLX7OC9XpCSzlOBMG_lmeQ,12sLUp6XxjHPYf12j1IOqQ,4,4
Tjv5bBtJ-Z_CLiY-rheG2g,AfQjI9Wbu6_Hzy2b3e7JLw,4,4
7N0HO20l5hDb1m4JsUDlpg,aIZQF2UCLv6ru-zsPK4H2Q,5,2
7vsMC2RndD2WertWHA5GJQ,XmgdFa3G_CZVfjtQEJMZfQ,4,4
DBHCFW3mSmmOEpONHVu1rQ,BYNPZf2RPFrqVvjBlwfZOw,4,4
fuux76suMAhWIpwQdNqIWg,doX6YraMmCimqAhnQR2mYA,5,2
f5AzyVdIDASkl8kAJSZq7Q,VG-ceXs6jg_gZ5R7gfkTxQ,1,2
n9RM5dQs7DEbUNZR2AAPVw,SSfNzgqA-3cbM7aWK-4nDw,5,2
Eyw6XT1bFo_vKpFfIcuAag,7YJrRufp-0tlNnihJy-Xeg,5,2
G8M4H_3OwVYld36Xrzu_Bg,RK5YJ01Rla3nLOTe7JPktA,4,4
MJKg_Z3Ba0GyEjDgTGmX8g,Gpr3RKvXXH5aa2XfXRwscA,4,4
GTcKUjRulTRN_XxehMgSZQ,04jtcZLxvrFOi_G9ElWYtQ,3,2
5JNgIiiVVXClwS6ut_Z9rg,KXfhB9wkyycKBi3BZ7On5A,5,2
kKXjr2cCjPMQoX0OiB6XRA,EozORgWFUCiiMfIjnKxhXg,4,3
gKvhQ1I3pJWdtDNNMllhdg,SaI-99XOm7LMStUrjyG4jw,1,4
o0WGr8L3BWfH2Bslpnqw6g,5-1zA-TaCUeDa74uzXl78A,4,0
O4jEU1IsyccHMLZnOhkpzA,TCEOq0IoCW76Z7J9jwED9g,1,2
135DbbQnr3BEkQbBzZ9T1A,Mf1tLeJhoab7fN2r7rGB7g,3,1
2m2MNnlOdofofmUs-hYTJQ,aZG9Hp8fdgzq37iuB1QTYg,5,1
9nUtGoOnZMPlZdUQV_aqTA,E0hjQKyw3IRaVsyayTPr7w,3,0
CTaZ3ebFGQMHaLZhnO2EuA,wWCID-HxH2wITPDIqghuiQ,4,1
zIOxNinC6ofIwwGjO9rUWg,XIg92ukZJn_1aiNx0OmusQ,5,4
U83weFx8vCDw7zYO-4FeWA,--SrzpvFLwP_YFwB_Cetow,4,4
S-o3iFv-AFdgE4FXNMJ1Kw,C14bjKs2rJhRDnKu7ZSSIg,4,2
_n1EYl_LwS4Do1JLJX8VdQ,mUeJYYxV0FbIFEHq2dtIhw,3,2
L8P5OWO1Jh4B2HLa1Fnbng,_miMpqv-9ay174DfRopwpg,3,2
uRcZURC3ituvPT0en9l3xA,GiDPLKtTfNHTb0koEWIz2g,1,2
peVsgFj0qa8SErmzIDM0lg,w_UCGMgok7N9p0XdYBx1VQ,3,1
_jYEC7fvqTxu5R2jhk_NDQ,o0c4waS2vQG2LqLaTCwZDA,5,2
yxplUTyzTXGz0Fj1doXWcA,VecnSuJm8sD83LWJ_KqAtg,1,0
jnB_saJqNfOmVoCWquhAzg,pw_YJMxkqEdXGI549TriAA,4,4
SlgpAnj2gQd44EM_Uq6DkQ,9bfuS3rmaLUgElvmbMy30w,2,1
_A8CO1V40LPIkXqE-LTYTg,Xx_bvAVlMw8ggBN8gNuugg,5,4
NLX7OC9XpCSzlOBMG_lmeQ,2auigv5pF08RjJ8CL1dIVw,4,4
