SESSIONID,USERID,REQUESTMONTH,REQUESTEDURL,lat,lon
1030290,1030290,4,h:955969,32.2217429,-110.926479
2046311,2046311,4,h:15682,33.414768,-111.9093095
1243334,1243334,4,h:989443,34.483901,-114.3224548
1051536,1051536,4,h:503306,44.9799654,-93.2638361
1096995,1096995,4,h:23558,35.410694,-80.8428504
1060683,1060683,4,h:12004,32.7153292,-117.1572551
1706083,1706083,4,h:12004,42.0697509,-87.7878408
1292468,1292468,4,h:64,30.267153,-97.7430608
1352367,1352367,4,h:98352,32.7153292,-117.1572551
1014487,1014487,4,h:652144,28.5383355,-81.3792365
1394481,1394481,4,h:4432,36.114646,-115.172816
1064795,1064795,4,h:12004,37.798577,-122.4246535
1189306,1189306,4,h:230896,33.414768,-111.9093095
2143451,2143451,4,h:380645,33.7877944,-117.8531119
1462306,1462306,4,h:5222,43.0389025,-87.9064736
1208936,1208936,4,h:1046673,33.9412127,-84.2135309
2145529,2145529,4,h:176175,33.4941704,-111.9260519
1307252,1307252,4,h:77014,33.4151843,-111.8314724
1683288,1683288,4,h:27519,-22.9035393,-43.2095869
1462306,1462306,4,h:5222,43.0389025,-87.9064736
1093668,1093668,4,h:5222,37.3393857,-121.8949555
1093668,1093668,4,h:5222,37.3393857,-121.8949555
1346119,1346119,12,h:78479,40.715972,-74.001437
1178331,1178331,4,h:231550,33.4483771,-112.0740373
1260040,1260040,4,h:11138,40.9525987,-72.9253805
1005284,1005284,4,h:884725,42.5256502,-71.0953314
1759951,1759951,4,h:19702,41.5428123,-87.6847684
1644301,1644301,4,h:18006,33.4941704,-111.9260519
1382500,1382500,4,h:18006,40.7143528,-74.0059731
1104942,1104942,4,h:431011,33.7739053,-117.9414477
1186133,1186133,4,h:54327,33.4483771,-112.0740373
1226379,1226379,4,h:190625,33.414768,-111.9093095
1064557,1064557,4,h:11138,56.1704026,14.8630072
1346427,1346427,4,h:562,37.7361933,-121.9466284
1157471,1157471,4,h:12408,47.6062095,-122.3320708
1394481,1394481,4,h:4432,36.114646,-115.172816
1252403,1252403,4,h:333484,32.2217429,-110.926479
1026854,1026854,4,h:2297,33.6408367,-84.4456681
1064557,1064557,4,h:11138,56.1704026,14.8630072
1660045,1660045,4,h:32679,26.1223084,-80.1433786
1052333,1052333,4,h:5222,32.7153292,-117.1572551
1425226,1425226,4,h:12949,33.414768,-111.9093095
1052333,1052333,4,h:5222,32.7153292,-117.1572551
1107750,1107750,4,h:9822,33.6000232,-117.6719953
2143422,2143422,4,h:20073,25.790654,-80.1300455
1030895,1030895,4,h:129248,32.2217429,-110.926479
2010434,2010434,4,h:11138,37.5841026,-122.3660825
2047020,2047020,4,h:212815,33.4483771,-112.0740373
1059394,1059394,4,h:5222,37.629349,-122.400087
2143546,2143546,4,h:229634,40.3042778,-73.9923596
2145459,2145459,4,h:19844,29.7628844,-95.3830615
1268359,1268359,3,h:54318,39.3899254,-3.2101372
1222819,1222819,4,h:16436,38.8951118,-77.0363658
1277438,1277438,4,h:4700,33.8702923,-117.925338
1320005,1320005,4,h:22081,34.1898566,-118.451357
1245234,1245234,4,h:15889,35.1495343,-90.0489801
1108497,1108497,4,h:207165,33.4483771,-112.0740373
1683288,1683288,4,h:3570,-22.9035393,-43.2095869
1096906,1096906,4,h:601457,33.414768,-111.9093095
1879953,1879953,4,h:4432,41.8781136,-87.6297982
1167398,1167398,4,h:209649,33.4483771,-112.0740373
1178331,1178331,4,h:50809,33.4483771,-112.0740373
1839831,1839831,4,h:169601,33.3061605,-111.8412502
1839831,1839831,4,h:169601,33.3061605,-111.8412502
1032688,1032688,4,h:349625,40.7329606,-73.9884556
1003137,1003137,4,h:21990,38.8951118,-77.0363658
1011171,1011171,4,h:7489,44.9799654,-93.2638361
2147172,2147172,4,h:4432,41.8781136,-87.6297982
1127067,1127067,4,h:7491,29.4241219,-98.4936282
1665532,1665532,4,h:3570,32.6086111,-83.6380556
1346427,1346427,4,h:3570,37.7361933,-121.9466284
1248751,1248751,4,h:7491,47.6062095,-122.3320708
2011711,2011711,4,h:375030,32.802955,-96.769923
1065991,1065991,4,h:214758,33.5386523,-112.1859866
1104585,1104585,4,h:842316,33.3528264,-111.789027
1260040,1260040,4,h:5222,40.9525987,-72.9253805
2145752,2145752,4,h:43942,35.5280783,-108.7425843
1243125,1243125,4,h:43942,35.5280783,-108.7425843
1361670,1361670,4,h:560953,32.7153292,-117.1572551
1665532,1665532,4,h:562,32.6086111,-83.6380556
1940964,1940964,4,h:469624,33.4222685,-111.8226402
1361670,1361670,4,h:733698,32.7153292,-117.1572551
1048722,1048722,12,h:157566,41.8525984,-72.6437022
1129399,1129399,4,h:72431,33.414768,-111.9093095
1361670,1361670,4,h:190625,32.7153292,-117.1572551
1824450,1824450,4,h:84329,36.1988592,-115.1175013
