[INFO ] 2018-05-22 11:37:57,758 -- WorkingPath: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/
[INFO ] 2018-05-22 11:37:57,770 -- Your original rating data path: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/reduzido.csv
[INFO ] 2018-05-22 11:37:57,771 -- Current working path: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/
[WARN ] 2018-05-22 11:37:57,775 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2018-05-22 11:37:58,066 -- Data transformaton completed (from Compact to Binary format). See new rating file: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2018-05-22 11:37:58,090 -- Dataset: ...ARSKit.Workspace/ratings_binary.txt
[INFO ] 2018-05-22 11:37:58,093 -- DataPath: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2018-05-22 11:37:58,619 -- Rating data set has been successfully loaded.
[INFO ] 2018-05-22 11:37:58,628 -- 
/***************************************************************************************************
 *
 * Dataset: /Users/igorsantana/Projects/v2-tcc-pesquisa/datasets/CARSKit.Workspace/ratings_binary.txt
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 548
 * Item amount: 549
 * Rate amount: 607
 * Context dimensions: 2 (latitude, longitude)
 * Context conditions: 1096 (latitude: 548, longitude: 548)
 * Context situations: 547
 * Data density: 0.00000067185363493266%
 * Scale distribution: [2.0 x 61, 4.0 x 194, 1.0 x 33, 5.0 x 180, 3.0 x 139]
 * Average value of all ratings: 3.703460
 * Standard deviation of all ratings: 1.152765
 * Mode of all rating values: 4.000000
 * Median of all rating values: 4.000000
 *
 ***************************************************************************************************/
[INFO ] 2018-05-22 11:37:58,631 -- With Setup: cv -k 10 -p on --rand-seed 1 --test-view all
[DEBUG] 2018-05-22 11:37:58,640 -- Fold [1]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,647 -- Fold [2]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,662 -- Fold [3]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,679 -- Fold [4]: training amount: 547, test amount: 60
[DEBUG] 2018-05-22 11:37:58,699 -- Fold [5]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,728 -- Fold [6]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,756 -- Fold [7]: training amount: 547, test amount: 60
[DEBUG] 2018-05-22 11:37:58,840 -- Fold [8]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,847 -- Fold [9]: training amount: 546, test amount: 61
[DEBUG] 2018-05-22 11:37:58,850 -- Fold [10]: training amount: 547, test amount: 60
[DEBUG] 2018-05-22 11:37:59,808 -- BPR fold [8] iter 1: loss = 37995.945, delta_loss = -37995.945, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,812 -- BPR fold [7] iter 1: loss = 38094.156, delta_loss = -38094.156, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,813 -- BPR fold [4] iter 1: loss = 38283.56, delta_loss = -38283.56, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,815 -- BPR fold [9] iter 1: loss = 37576.926, delta_loss = -37576.926, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,826 -- BPR fold [6] iter 1: loss = 38375.67, delta_loss = -38375.67, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,830 -- BPR fold [1] iter 1: loss = 37511.555, delta_loss = -37511.555, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,886 -- BPR fold [3] iter 1: loss = 38316.34, delta_loss = -38316.34, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,890 -- BPR fold [10] iter 1: loss = 37372.86, delta_loss = -37372.86, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,898 -- BPR fold [2] iter 1: loss = 38237.016, delta_loss = -38237.016, learn_rate = 0.002
[DEBUG] 2018-05-22 11:37:59,946 -- BPR fold [5] iter 1: loss = 37885.176, delta_loss = -37885.176, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,653 -- BPR fold [8] iter 2: loss = 32331.21, delta_loss = 5664.736, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,656 -- BPR fold [7] iter 2: loss = 32479.139, delta_loss = 5615.019, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,672 -- BPR fold [1] iter 2: loss = 32171.58, delta_loss = 5339.9766, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,674 -- BPR fold [6] iter 2: loss = 32827.555, delta_loss = 5548.117, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,677 -- BPR fold [4] iter 2: loss = 32750.922, delta_loss = 5532.6343, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,679 -- BPR fold [5] iter 2: loss = 32401.676, delta_loss = 5483.4985, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,681 -- BPR fold [9] iter 2: loss = 32028.986, delta_loss = 5547.9395, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,682 -- BPR fold [2] iter 2: loss = 32515.645, delta_loss = 5721.3726, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,686 -- BPR fold [10] iter 2: loss = 31924.533, delta_loss = 5448.326, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:00,692 -- BPR fold [3] iter 2: loss = 32730.654, delta_loss = 5585.687, learn_rate = 0.002
[DEBUG] 2018-05-22 11:38:01,064 -- BPR fold [4] iter 3: loss = 28763.754, delta_loss = 3987.1694, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,065 -- BPR fold [8] iter 3: loss = 28391.195, delta_loss = 3940.016, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,074 -- BPR fold [2] iter 3: loss = 28480.246, delta_loss = 4035.397, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,079 -- BPR fold [10] iter 3: loss = 27910.418, delta_loss = 4014.115, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,082 -- BPR fold [3] iter 3: loss = 28612.639, delta_loss = 4118.0156, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,084 -- BPR fold [5] iter 3: loss = 28311.996, delta_loss = 4089.679, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,085 -- BPR fold [6] iter 3: loss = 28633.783, delta_loss = 4193.772, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,088 -- BPR fold [1] iter 3: loss = 28350.621, delta_loss = 3820.9578, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,089 -- BPR fold [9] iter 3: loss = 27965.814, delta_loss = 4063.171, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,096 -- BPR fold [7] iter 3: loss = 28438.71, delta_loss = 4040.4277, learn_rate = 0.0021000002
[DEBUG] 2018-05-22 11:38:01,263 -- BPR fold [10] iter 4: loss = 24733.084, delta_loss = 3177.3337, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,264 -- BPR fold [8] iter 4: loss = 24979.158, delta_loss = 3412.0364, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,268 -- BPR fold [3] iter 4: loss = 25328.729, delta_loss = 3283.9087, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,274 -- BPR fold [5] iter 4: loss = 25016.129, delta_loss = 3295.868, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,275 -- BPR fold [2] iter 4: loss = 25112.68, delta_loss = 3367.5671, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,278 -- BPR fold [6] iter 4: loss = 25388.49, delta_loss = 3245.2937, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,280 -- BPR fold [4] iter 4: loss = 25487.87, delta_loss = 3275.8833, learn_rate = 0.002205
[DEBUG] 2018-05-22 11:38:01,286 -- BPR fold [9] iter 4: loss = 24731.568, delta_loss = 3234.2458, learn_rate = 0.002205
